item_id,symbol,name_text_id,description_text_id,current_name,japanese_or_source_comment,candidate_name,status,reference_url,notes
$00,Item_Cudgel,Text764,Text1359,Club,こん棒,,review,,SFC club identity; do not assume Wooden Sword.
$01,Item_Nagamaki,Text765,Text1360,Nagamaki,長巻,,review,,No direct target established.
$02,Item_BufusCleaver,Text766,Text1361,Bufoo's Cleaver,ブフーの包丁,,review,,Meat-system item; do not substitute Peach Club.
$03,Item_Katana,Text767,Text1362,Katana,カタナ,Katana,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$04,Item_Dragonkiller,Text768,Text1363,Dragon Killer,ドラゴンキラー,Dragonkiller,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$05,Item_Mastersword,Text769,Text1364,Dotanuki,どうたぬき,Doutanuki,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$06,Item_KabrasBlade,Text770,Text1365,Goken-Manjikabura,剛剣マンジカブラ,Manji Kabura,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$07,Item_SickleSlayer,Text771,Text1366,Exorcist Sickle,成仏の鎌,Sickle of Salvation,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$08,Item_Pickaxe,Text772,Text1367,Pickaxe,つるはし,Pickaxe,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$09,Item_HomingBlade,Text773,Text1368,Accuracy Sword,必中の剣,Accurate Sword,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$0A,Item_MinotaursAxe,Text774,Text1369,Minotaur Axe,ミノタウロスの斧,Axe of the Minotaur,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$0B,Item_RazorWind,Text775,Text1370,Yoto Kamaitachi,妖刀かまいたち,Kama Itachi,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$0C,Item_CyclopsKiller,Text776,Text1371,One-eye Killer,１ツ目殺し,Cyclops Bane,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$0D,Item_DrainBuster,Text777,Text1372,Drain Buster,ドレインバスター,Drain Slayer,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$0E,Item_Firebrand,Text778,Text1373,Kajinfumato,火迅風魔刀,Kajin Fuuma,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
$0F,Item_KabraReborn,Text779,Text1374,Hiken Kaburasutegi,秘剣カブラステギ,Kabura Sutegi,candidate,https://sharksnack.github.io/shiren-6/items/weapons/,"Verify Japanese identity, official English spelling, SFC effect, and UI width."
