text_id,current_name,status,required_review
Text996,Red Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text997,Blue Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text998,Yellow Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text999,Green Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1000,White Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1001,Black Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1002,Purple Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1003,Brown Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1004,Grey Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1005,Aqua Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1006,Chartreuse Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1007,Umber Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1008,Black-white Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1009,Red-white Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1010,Feldspar Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1011,Crimson herb,review,Review appearance vocabulary; preserve randomization slot and category.
Text1012,Rainbow Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1013,Colorless Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1014,Turquoise Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1015,Scarlet Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1016,Indigo Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1017,Tan Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1018,Goldenrod Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1019,Bluegreen Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1020,Violet herb,review,Review appearance vocabulary; preserve randomization slot and category.
Text1021,Magenta Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1022,Iridescent Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
Text1023,Sienna Herb,review,Review Grass category suffix and appearance vocabulary; preserve slot.
